url_length,has_https,dot_count,hyphen_count,at_count,double_slash,digit_count,domain_length,path_depth,has_query,has_suspicious_tld,has_ip,has_phishing_keyword,has_gambling_keyword,has_brand_spoofing,subdomain_length,subdomain_count,domain_entropy,special_chars,path_length,digit_ratio_url,has_port,has_redirect,consonant_ratio,query_length,query_params,has_fragment,label
21,1,1,1,0,0,0,9,0,0,0,0,0,1,0,0,0,2.9477,1,0,0.0,0,0,0.75,0,0,0,2
28,1,1,1,0,0,2,16,0,0,1,0,0,1,0,0,0,3.1556,1,0,0.0714,0,0,0.6923,0,0,0,2
19,0,1,0,0,0,2,8,0,0,0,0,0,1,0,0,0,2.75,0,0,0.1053,0,0,0.8333,0,0,0,2
27,1,1,0,0,0,0,4,1,1,0,0,0,0,0,0,0,2.0,2,7,0.0741,0,0,0.75,4,1,0,1
17,1,2,0,0,0,0,2,0,0,0,0,0,0,0,3,1,1.0,0,0,0.0,0,0,0.5,0,0,0,0
43,1,1,0,0,0,0,15,1,1,0,0,0,0,0,0,0,3.1396,2,7,0.0,0,0,0.5333,8,1,0,0
158,1,2,2,0,0,0,29,3,0,0,0,0,0,1,17,1,3.6764,8,99,0.0886,0,0,0.5556,0,0,0,1
26,1,1,0,0,0,0,9,1,0,0,0,1,1,0,0,0,2.9477,0,6,0.0,0,0,0.6667,0,0,0,2
36,1,1,0,0,0,0,7,2,0,1,0,0,1,0,0,0,2.8074,1,17,0.0,0,0,0.7143,0,0,0,2
35,1,3,0,0,0,0,3,1,0,0,0,0,0,0,12,1,1.585,0,5,0.0,0,0,0.6667,0,0,0,0
36,1,4,0,0,0,0,6,1,0,0,0,0,0,0,5,1,2.2516,0,10,0.0,0,0,0.6667,0,0,0,0
49,0,1,0,0,0,0,21,2,0,0,0,0,0,0,0,0,3.5945,1,17,0.0,0,0,0.6667,0,0,0,1
21,1,1,0,0,0,3,10,0,0,0,0,0,1,0,0,0,3.3219,0,0,0.1429,0,0,0.7143,0,0,0,2
22,1,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,2.0,0,7,0.0,0,0,0.75,0,0,0,1
29,1,2,1,0,0,0,3,0,0,0,0,0,0,0,12,1,1.585,1,1,0.0,0,0,0.6667,0,0,0,1
36,1,3,0,0,0,0,7,2,0,0,0,0,0,0,3,1,2.5216,0,11,0.0,0,0,0.5714,0,0,0,0
39,1,1,0,0,0,0,10,1,1,0,0,0,0,0,0,0,2.8464,2,8,0.0,0,0,0.7,8,1,0,0
27,0,1,1,0,0,3,15,0,0,0,0,0,1,0,0,0,3.7736,1,0,0.1111,0,0,0.7273,0,0,0,2
26,1,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,2.0,0,11,0.0769,0,0,0.75,0,0,0,1
26,0,1,1,0,0,0,15,0,0,0,0,0,1,0,0,0,3.5069,1,0,0.0,0,0,0.5714,0,0,0,2
37,1,3,0,0,0,0,7,1,0,0,0,0,0,0,8,1,2.5216,0,7,0.0,0,0,0.5714,0,0,0,0
24,0,1,1,0,0,0,12,0,0,1,0,0,0,0,0,0,3.1887,1,0,0.0,0,0,0.5455,0,0,0,2
31,1,2,0,0,0,0,6,0,0,0,0,0,0,0,11,1,2.585,0,1,0.0,0,0,0.5,0,0,0,1
42,1,2,0,0,0,0,16,1,1,0,0,0,0,0,0,0,3.1556,2,5,0.0714,0,0,0.625,6,1,0,0
37,1,2,0,0,0,0,11,0,0,0,0,0,0,0,12,1,3.2776,0,1,0.1081,0,0,0.5455,0,0,0,1
26,1,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2.7255,0,1,0.0,0,0,0.7778,0,0,0,1
28,0,1,1,0,0,3,17,0,0,1,0,0,1,0,0,0,3.4104,1,0,0.1071,0,0,0.6923,0,0,0,2
19,0,1,0,0,0,0,8,0,0,0,0,0,1,0,0,0,2.75,0,0,0.0,0,0,0.625,0,0,0,2
44,1,1,0,0,0,0,15,0,1,0,0,0,0,0,0,0,3.2402,3,0,0.0,0,0,0.6,16,1,0,0
47,1,2,0,0,0,0,7,1,0,0,0,0,0,0,15,1,2.5216,0,12,0.0426,0,0,0.5714,0,0,0,1
47,1,1,0,0,0,0,9,1,1,0,0,0,0,0,0,0,2.9477,2,7,0.0,0,0,0.6667,18,1,0,0
46,1,1,0,0,0,0,11,1,1,0,0,0,0,0,0,0,2.7322,2,10,0.0,0,0,0.6364,12,1,0,0
20,1,1,0,0,0,0,8,0,0,1,0,0,1,0,0,0,2.5,0,0,0.0,0,0,0.625,0,0,0,2
25,0,1,1,0,0,1,11,0,0,1,0,0,1,0,0,0,3.2776,1,0,0.04,0,0,0.5556,0,0,0,2
24,1,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,2.0,0,7,0.0,0,0,0.75,0,0,0,1
46,1,2,0,0,0,0,5,1,0,0,0,0,0,0,8,1,2.3219,4,20,0.1304,0,0,0.8,0,0,0,1
38,1,2,0,0,0,0,11,0,0,0,0,0,0,0,13,1,2.914,0,1,0.0,0,0,0.5455,0,0,0,1
175,1,2,0,0,0,0,6,5,1,0,0,0,0,0,4,1,1.9183,8,108,0.1371,0,0,0.5,43,3,0,1
33,1,3,0,0,0,0,5,1,0,0,0,0,0,0,6,1,2.3219,0,7,0.0,0,0,0.6,0,0,0,0
21,1,1,0,0,0,4,9,0,0,0,0,0,1,0,0,0,2.7255,0,0,0.1905,0,0,0.6,0,0,0,2
37,1,1,2,0,0,0,11,1,1,0,0,0,0,0,0,0,3.0958,4,8,0.0811,0,0,0.5556,6,1,0,0
39,0,2,1,0,0,0,11,0,0,0,0,0,0,0,16,1,3.2776,1,0,0.0,0,0,0.5455,0,0,0,1
62,1,3,1,0,0,1,2,1,0,0,0,0,0,0,36,1,1.0,1,11,0.2903,0,0,1.0,0,0,0,1
29,1,3,0,0,0,0,3,1,0,0,0,0,0,0,3,1,1.585,0,8,0.0,0,0,0.6667,0,0,0,0
18,1,1,0,0,0,1,6,0,0,0,0,0,1,0,0,0,2.2516,0,0,0.0556,0,0,0.6,0,0,0,2
26,1,3,0,0,0,0,3,1,0,0,0,0,0,0,3,1,1.585,0,5,0.0,0,0,1.0,0,0,0,0
32,1,2,0,0,0,0,3,1,1,0,0,0,0,0,3,1,1.585,2,7,0.0312,0,0,0.3333,6,1,0,0
44,1,1,0,0,0,0,11,1,1,0,0,0,0,0,0,0,2.914,2,8,0.0,0,0,0.7273,12,1,0,0
22,0,1,1,0,0,0,11,0,0,1,0,0,1,0,0,0,2.914,1,0,0.0,0,0,0.6,0,0,0,2
26,1,1,1,0,0,0,11,0,0,1,0,0,0,0,0,0,2.914,1,0,0.0,0,0,0.5,0,0,0,2
47,1,2,2,0,0,0,6,0,0,0,0,1,0,0,27,1,2.2516,2,1,0.0,0,0,0.6667,0,0,0,1
40,1,3,0,0,0,0,7,2,0,0,0,0,0,0,7,1,2.5216,0,11,0.0,0,0,0.5714,0,0,0,0
31,1,3,0,0,0,0,7,1,0,0,0,0,0,0,0,0,2.5216,0,6,0.0,0,0,0.7143,0,0,0,0
22,1,1,1,0,0,0,9,0,0,1,0,0,1,0,0,0,3.1699,1,0,0.0,0,0,0.625,0,0,0,2
31,1,3,0,0,0,0,4,1,0,0,0,0,0,0,4,1,2.0,0,8,0.0,0,0,0.5,0,0,0,0
39,1,2,0,0,0,0,7,1,0,0,0,0,0,0,3,1,2.5216,0,16,0.3846,0,0,0.7143,0,0,0,1
38,1,3,0,0,0,0,6,1,0,0,0,0,0,0,6,1,2.585,0,11,0.0,0,0,0.6667,0,0,0,0
36,1,2,0,0,0,0,11,0,0,0,0,0,0,0,11,1,2.914,0,1,0.0,0,0,0.5455,0,0,0,1
51,1,3,0,0,0,0,5,2,0,0,0,0,0,0,11,2,2.3219,0,22,0.0392,0,0,0.4,0,0,0,1
28,1,1,1,0,0,0,16,0,0,0,0,0,1,0,0,0,3.25,1,0,0.0,0,0,0.5333,0,0,0,2
38,1,2,2,0,0,0,6,0,0,0,0,0,0,0,18,1,2.2516,2,1,0.0,0,0,0.6667,0,0,0,1
68,1,3,1,0,0,1,2,1,0,0,0,0,0,0,36,1,1.0,1,17,0.3529,0,0,1.0,0,0,0,1
36,1,3,0,0,0,0,8,1,0,0,0,0,0,0,0,0,2.75,0,10,0.0,0,0,0.625,0,0,0,0
22,0,1,0,0,0,0,10,0,0,0,0,0,1,0,0,0,2.9219,0,0,0.0,0,0,0.7,0,0,0,2
22,1,1,0,0,0,2,9,0,0,1,0,0,1,0,0,0,2.5033,0,0,0.0909,0,0,0.5714,0,0,0,2
40,1,2,2,0,0,0,7,0,0,0,0,0,0,0,19,1,2.8074,2,1,0.1,0,0,0.7143,0,0,0,1
190,1,3,0,0,0,0,6,5,1,0,0,0,0,0,4,1,1.9183,9,108,0.1105,0,0,0.5,58,4,0,1
19,1,1,0,0,0,1,7,0,0,0,0,0,1,0,0,0,2.8074,0,0,0.0526,0,0,0.6667,0,0,0,2
41,1,2,0,0,0,0,15,1,0,0,0,0,0,0,5,1,2.9736,0,8,0.0244,0,0,0.6,0,0,0,1
20,0,1,1,0,0,0,8,0,0,0,0,0,1,0,0,0,2.75,1,0,0.0,0,0,0.8571,0,0,0,2
27,1,2,0,0,0,0,7,0,0,0,0,0,0,0,6,1,2.2359,0,1,0.0,0,0,0.5714,0,0,0,1
19,1,1,0,0,0,1,8,0,0,0,0,0,0,0,0,0,2.75,0,0,0.0526,0,0,0.5714,0,0,0,0
20,1,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2.8074,0,0,0.0,0,0,0.5714,0,0,0,0
23,0,1,0,0,0,4,11,0,0,0,0,0,1,0,0,0,3.0958,0,0,0.1739,0,0,0.7143,0,0,0,2
28,1,1,1,0,0,0,16,0,0,1,0,0,1,0,0,0,3.0306,1,0,0.0,0,0,0.4667,0,0,0,2
42,1,1,0,0,0,0,14,1,1,0,0,0,0,0,0,0,3.3249,2,6,0.0,0,0,0.6429,9,1,0,0
33,1,1,0,0,0,0,10,1,0,0,0,0,0,0,0,0,2.3219,0,11,0.0909,0,0,0.6,0,0,0,1
21,1,1,0,0,0,0,9,0,0,0,0,0,1,0,0,0,2.9477,0,0,0.0,0,0,0.6667,0,0,0,2
20,0,1,1,0,0,0,8,0,0,1,0,0,1,1,0,0,2.4056,1,0,0.0,0,0,0.5714,0,0,0,2
28,1,1,1,0,0,2,15,0,0,1,0,0,1,0,0,0,3.4566,1,0,0.0714,0,0,0.5833,0,0,0,2
21,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2.6464,0,0,0.0,0,0,0.7,0,0,0,2
38,1,3,0,0,0,0,8,1,0,0,0,0,0,0,4,1,2.75,0,11,0.0,0,0,0.625,0,0,0,0
37,1,1,0,0,0,0,7,1,1,0,0,0,0,0,0,0,2.8074,2,5,0.0,0,0,0.7143,12,1,0,0
28,0,1,1,0,0,3,16,0,0,0,0,0,1,0,0,0,3.4528,1,0,0.1071,0,0,0.5,0,0,0,2
26,1,1,1,0,0,0,14,0,0,1,0,0,1,0,0,0,3.3788,1,0,0.0,0,0,0.5385,0,0,0,2
35,1,3,0,0,0,0,6,1,0,0,0,0,0,0,7,1,2.585,0,7,0.0,0,0,0.5,0,0,0,0
29,1,1,1,0,0,0,16,0,0,1,0,0,1,0,0,0,3.1556,1,0,0.0,0,0,0.6,0,0,0,2
30,1,2,0,0,0,0,3,0,0,0,0,0,0,0,13,1,1.585,0,1,0.0,0,0,0.6667,0,0,0,1
33,1,2,0,0,0,0,12,0,1,0,0,0,0,0,0,0,2.8554,2,0,0.0303,0,0,0.5833,6,1,0,0
38,1,3,0,0,0,0,7,1,0,0,0,0,0,0,8,1,2.5216,0,8,0.0,0,0,0.5714,0,0,0,0
32,0,1,2,0,0,0,18,0,0,1,0,0,1,0,0,0,3.281,2,0,0.0,0,0,0.625,0,0,0,2
22,1,1,0,0,0,2,9,0,0,0,0,0,1,0,0,0,2.7255,0,0,0.0909,0,0,0.7143,0,0,0,2
19,1,1,0,0,0,0,7,0,0,1,0,0,1,0,0,0,2.5216,0,0,0.0,0,0,0.7143,0,0,0,2
32,0,1,2,0,0,2,20,0,0,1,0,0,1,0,0,0,3.6219,2,0,0.0625,0,0,0.5625,0,0,0,2
22,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1.585,0,8,0.1364,0,0,0.6667,0,0,0,1
27,0,1,1,0,0,0,16,0,0,0,0,0,1,0,0,0,3.1556,1,0,0.0,0,0,0.6,0,0,0,2
38,1,3,0,0,0,0,6,1,0,0,0,0,0,0,9,1,2.2516,0,8,0.0,0,0,0.6667,0,0,0,0
40,1,3,0,0,0,0,6,1,0,0,0,0,0,0,9,1,1.9183,0,10,0.0,0,0,0.6667,0,0,0,0
24,0,1,1,0,0,0,13,0,0,1,0,0,1,0,0,0,3.3347,1,0,0.0,0,0,0.5833,0,0,0,2
27,1,2,0,0,0,0,6,0,0,0,0,0,0,0,7,1,2.2516,0,1,0.0,0,0,0.6667,0,0,0,1
21,1,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,1.585,1,7,0.0476,0,0,1.0,0,0,0,1
41,1,2,0,0,0,0,6,0,0,0,0,1,0,0,21,1,2.2516,0,1,0.0732,0,0,0.6667,0,0,0,1
40,1,3,0,0,0,0,6,1,0,0,0,0,0,0,11,1,2.585,0,8,0.0,0,0,0.5,0,0,0,0
45,1,3,0,0,0,0,6,1,0,0,0,0,0,0,12,1,2.585,0,12,0.0,0,0,0.6667,0,0,0,0
51,1,1,0,0,0,0,13,1,1,0,0,0,0,1,0,0,2.7774,2,8,0.0,0,0,0.6923,17,1,0,0
27,1,1,1,0,0,0,15,0,0,0,0,0,0,0,0,0,3.3232,1,0,0.0,0,0,0.5714,0,0,0,2
23,0,1,0,0,0,4,11,0,0,0,0,0,1,0,0,0,3.2776,0,0,0.1739,0,0,0.7143,0,0,0,2
18,1,1,0,0,0,0,5,0,0,1,0,0,1,0,0,0,1.9219,0,0,0.0,0,0,0.6,0,0,0,2
22,1,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,2.0,0,7,0.0,0,0,0.75,0,0,0,1
18,1,1,0,0,0,2,6,0,0,0,0,0,1,0,0,0,2.2516,0,0,0.1111,0,0,0.75,0,0,0,2
41,1,2,2,0,0,0,6,0,0,0,0,0,0,0,21,1,2.2516,2,1,0.1463,0,0,0.6667,0,0,0,1
31,1,3,0,0,0,0,5,1,0,0,0,0,0,0,3,1,1.9219,0,8,0.0,0,0,0.6,0,0,0,0
50,1,1,0,0,0,0,13,1,1,0,0,0,0,0,0,0,3.1808,3,8,0.0,0,0,0.6154,16,1,0,0
38,1,1,0,0,0,0,8,0,1,0,0,0,0,0,0,0,2.4056,2,0,0.0,0,0,0.625,18,1,0,0
21,1,1,1,0,0,0,8,0,0,1,0,0,1,0,0,0,3.0,1,0,0.0,0,0,0.7143,0,0,0,2
